it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Petrol,Hatchback,"27,749",Automatic,2,2nd Owner,Hyundai,Hyundai Grand i10 Nios,2019,7092,AMT Sportz,₹ 6.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"21,609",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2020,7849,SX Plus Turbo DCT DT,₹ 10.36 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"89,609",Manual,1,1st Owner,Honda,Honda City,2019,1256,VTEC,₹ 8.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"83,556",Manual,2,2nd Owner,Ford,Ford Freestyle,2019,6337,Ambiente Diesel,₹ 5.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"31,513",Manual,1,1st Owner,Tata,Tata Punch,2022,8822,Creative Kaziranga Edition,₹ 8.47 Lakh,₹ 8.64 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"45,939",Manual,1,1st Owner,Honda,Honda City,2016,7259,SV MT,₹ 7.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"40,531",Manual,1,1st Owner,Tata,Tata Tiago,2020,7338,XE BSVI,₹ 4.96 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,MUV,"1,20,000",Manual,3,3rd Owner,Mahindra,Mahindra Bolero,2009,3502,DI AC BSIII,₹ 3.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"17,663",Automatic,1,1st Owner,Maruti,Maruti Vitara Brezza,2020,7573,ZXI Plus AT,₹ 10.09 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"77,706",Manual,3,3rd Owner,Hyundai,Hyundai Grand i10,2013,1549,Sportz,₹ 3.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"49,000",Automatic,1,1st Owner,Audi,Audi Q7,2016,133,45 TDI Quattro Premium Plus,₹ 49 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"60,000",Automatic,1,1st Owner,Volvo,Volvo XC 90,2019,7536,D5 Inscription,₹ 68 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"35,000",Automatic,1,1st Owner,BMW,BMW 3 Series,2018,7103,320d Luxury Line,₹ 34 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"54,000",Automatic,1,1st Owner,Jaguar,Jaguar F-Pace,2018,4997,Prestige 2.0 AWD,₹ 50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"1,10,000",Manual,1,1st Owner,Honda,Honda New Accord,2010,1378,2.4 MT,₹ 5.19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,35,000",Automatic,2,2nd Owner,Audi,Audi Q7,2013,121,3.0 TDI quattro,₹ 21.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
